## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2025-06-19T00:57:12.949Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Society. 2024. Cambridge Bay Conductivity Temperature Depth Deployed 2024-08-29. Ocean Networks Canada Society. https://doi.org/10.34943/83c71dca-11d5-41f4-81c1-fa03bfb1f4a8. Subset Query: 31142684. Accessed 2025-06-19."  / Citation Title
#METADATF:  CambridgeBay_UnderwaterNetwork_ConductivityTemperatureDepth_Depth_20240830T160000Z_20250618T050000Z-NaN_clean_avg1hour_CSV_META.xml  / Metadata file name
#SEARCHID:  50611363                             / DMAS Search ID from Oceans3.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Arctic-CambridgeBay-UnderwaterNetwork  / Station Name 
#STNCODE:   CBYIP                                / Station Code 
#LATITUDE:     69.113000                         / Latitude North
#LONGITUDE:  -105.064500                         / Longitude East
#DEPTH:         9.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    1  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2024-08-29T17:11:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE19plus V2 7128"   / Device Name of Device 1
#DEVCODE1:  SBECTD19p7128                        / Device Code of Device 1
#DEVID1:    23830                                / Device ID of Device 1
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2024-08-30T16:00:00.000Z             / Data Start Time
#DATETO:    2025-06-18T05:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2024-03-19T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 5758                                 / Samples in File
#TOTSMPEXP: 6997                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Depth (m)", "Depth QC Flag", "Depth Count"
## END HEADER
2024-09-04T20:30:00.000Z, 9.830838889, 7, 3600
2024-09-04T21:30:00.000Z, 9.725202778, 7, 3600
2024-09-04T22:30:00.000Z, 9.569516667, 7, 3600
2024-09-04T23:30:00.000Z, 9.421902778, 7, 3600
2024-09-05T00:30:00.000Z, 9.314013889, 7, 3600
2024-09-05T01:30:00.000Z, 9.236161111, 7, 3600
2024-09-05T02:30:00.000Z, 9.226861111, 7, 3600
2024-09-05T03:30:00.000Z, 9.253447222, 7, 3600
2024-09-05T04:30:00.000Z, 9.348580556, 7, 3600
2024-09-05T05:30:00.000Z, 9.453822222, 7, 3600
2024-09-05T06:30:00.000Z, 9.555561111, 7, 3600
2024-09-05T07:30:00.000Z, 9.619041667, 7, 3600
2024-09-05T08:30:00.000Z, 9.644416667, 7, 3600
2024-09-05T09:30:00.000Z, 9.592902778, 7, 3600
2024-09-05T10:30:00.000Z, 9.490644444, 7, 3600
2024-09-05T11:30:00.000Z, 9.382491667, 7, 3600
2024-09-05T12:30:00.000Z, 9.286258333, 7, 3600
2024-09-05T13:30:00.000Z, 9.23495, 7, 3600
2024-09-05T14:30:00.000Z, 9.2289, 7, 3600
2024-09-05T15:30:00.000Z, 9.29455, 7, 3600
2024-09-05T16:30:00.000Z, 9.405088889, 7, 3600
2024-09-05T17:30:00.000Z, 9.534591667, 7, 3600
2024-09-05T18:30:00.000Z, 9.663022222, 7, 3600
2024-09-05T19:30:00.000Z, 9.750444444, 7, 3600
2024-09-05T20:30:00.000Z, 9.742191667, 7, 3600
2024-09-05T21:30:00.000Z, 9.658641667, 7, 3600
2024-09-05T22:30:00.000Z, 9.510472222, 7, 3600
2024-09-05T23:30:00.000Z, 9.367263889, 7, 3600
2024-09-06T00:30:00.000Z, 9.219863889, 7, 3600
2024-09-06T01:30:00.000Z, 9.122761111, 7, 3600
2024-09-06T02:30:00.000Z, 9.098227778, 7, 3600
2024-09-06T03:30:00.000Z, 9.083266667, 7, 3600
2024-09-06T04:30:00.000Z, 9.174419444, 7, 3600
2024-09-06T05:30:00.000Z, 9.297722222, 7, 3600
2024-09-06T06:30:00.000Z, 9.412030556, 7, 3600
2024-09-06T07:30:00.000Z, 9.509788889, 7, 3600
2024-09-06T08:30:00.000Z, 9.549480556, 7, 3600
2024-09-06T09:30:00.000Z, 9.530577778, 7, 3600
2024-09-06T10:30:00.000Z, 9.432627778, 7, 3600
2024-09-06T11:30:00.000Z, 9.334986111, 7, 3600
2024-09-06T12:30:00.000Z, 9.218675, 7, 3600
2024-09-06T13:30:00.000Z, 9.145008333, 7, 3600
2024-09-06T14:30:00.000Z, 9.1118, 7, 3600
2024-09-06T15:30:00.000Z, 9.150086111, 7, 3600
2024-09-06T16:30:00.000Z, 9.236430556, 7, 3600
2024-09-06T17:30:00.000Z, 9.3777, 7, 3600
2024-09-06T18:30:00.000Z, 9.509655556, 7, 3600
2024-09-06T19:30:00.000Z, 9.622916667, 7, 3600
2024-09-06T20:30:00.000Z, 9.661036111, 7, 3600
2024-09-06T21:30:00.000Z, 9.626397222, 7, 3600
2024-09-06T22:30:00.000Z, 9.519102778, 7, 3600
2024-09-06T23:30:00.000Z, 9.381008333, 7, 3600
2024-09-07T00:30:00.000Z, 9.251047222, 7, 3600
2024-09-07T01:30:00.000Z, 9.140952778, 7, 3600
2024-09-07T02:30:00.000Z, 9.084519444, 7, 3600
2024-09-07T03:30:00.000Z, 9.075880556, 7, 3600
2024-09-07T04:30:00.000Z, 9.134469444, 7, 3600
2024-09-07T05:30:00.000Z, 9.2302, 7, 3600
2024-09-07T06:30:00.000Z, 9.370002778, 7, 3600
2024-09-07T07:30:00.000Z, 9.489305556, 7, 3600
2024-09-07T08:30:00.000Z, 9.577347222, 7, 3600
2024-09-07T09:30:00.000Z, 9.589038889, 7, 3600
2024-09-07T10:30:00.000Z, 9.546552778, 7, 3600
2024-09-07T11:30:00.000Z, 9.447163889, 7, 3600
2024-09-07T12:30:00.000Z, 9.348280556, 7, 3600
2024-09-07T13:30:00.000Z, 9.260502778, 7, 3600
2024-09-07T14:30:00.000Z, 9.221130556, 7, 3600
2024-09-07T15:30:00.000Z, 9.210638889, 7, 3600
2024-09-07T16:30:00.000Z, 9.278780556, 7, 3600
2024-09-07T17:30:00.000Z, 9.385530556, 7, 3600
2024-09-07T18:30:00.000Z, 9.538225, 7, 3600
2024-09-07T19:30:00.000Z, 9.663463889, 7, 3600
2024-09-07T20:30:00.000Z, 9.734652778, 7, 3600
2024-09-07T21:30:00.000Z, 9.735883333, 7, 3600
2024-09-07T22:30:00.000Z, 9.644911111, 7, 3600
2024-09-07T23:30:00.000Z, 9.523061111, 7, 3600
2024-09-08T00:30:00.000Z, 9.377391667, 7, 3600
2024-09-08T01:30:00.000Z, 9.263461111, 7, 3600
2024-09-08T02:30:00.000Z, 9.190408333, 7, 3600
2024-09-08T03:30:00.000Z, 9.143097222, 7, 3600
2024-09-08T04:30:00.000Z, 9.168161111, 7, 3600
2024-09-08T05:30:00.000Z, 9.251433333, 7, 3600
2024-09-08T06:30:00.000Z, 9.384580556, 7, 3600
2024-09-08T07:30:00.000Z, 9.516508333, 7, 3600
2024-09-08T08:30:00.000Z, 9.608119444, 7, 3600
2024-09-08T09:30:00.000Z, 9.648588889, 7, 3600
2024-09-08T10:30:00.000Z, 9.619725076, 7, 3601
2024-09-08T11:30:00.000Z, 9.525052778, 7, 3600
2024-09-08T12:30:00.000Z, 9.425391667, 7, 3600
2024-09-08T13:30:00.000Z, 9.328727778, 7, 3600
2024-09-08T14:30:00.000Z, 9.2615, 7, 3600
2024-09-08T15:30:00.000Z, 9.253855556, 7, 3600
2024-09-08T16:30:00.000Z, 9.273905556, 7, 3600
2024-09-08T17:30:00.000Z, 9.354911111, 7, 3600
2024-09-08T18:30:00.000Z, 9.477666667, 7, 3600
2024-09-08T19:30:00.000Z, 9.597613889, 7, 3600
2024-09-08T20:30:00.000Z, 9.698275, 7, 3600
