## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2025-06-21T19:50:46.965Z  / File Creation Date = Date for Citation
#CITATION1: "Ocean Networks Canada Society. 2012. Cambridge Bay Water Quality Monitor Deployed 2012-10-02. Ocean Networks Canada Society. https://doi.org/10.34943/d1411630-2b5e-418d-b9ca-7f78af5b26b0. Subset Query: 31177891. Accessed 2025-06-21."  / Citation Title
#CITATION2: "Ocean Networks Canada Society. 2013. Cambridge Bay Water Quality Monitor Deployed 2013-09-03. Ocean Networks Canada Society. https://doi.org/10.34943/511f07f7-236c-4573-8146-6e6994d10bed. Subset Query: 31177892. Accessed 2025-06-21."  / Citation Title
#METADATF:  CambridgeBay_UnderwaterNetwork_WaterQualityMonitor_OxygenSaturation_20121006T043000Z_20140916T060000Z-NaN_clean_avg15minute_CSV_META.xml  / Metadata file name
#SEARCHID:  50649287                             / DMAS Search ID from Oceans3.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Arctic-CambridgeBay-UnderwaterNetwork  / Station Name 
#STNCODE:   CBYIP                                / Station Code 
#LATITUDE:     69.113860                         / Latitude North
#LONGITUDE:  -105.060580                         / Longitude East
#DEPTH:         6.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Water Quality Monitor                   / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2012-10-06T04:15:12.000Z             / Device 1 Deployment Date
#DEVNAME1: "WET Labs Water Quality Monitor 233"  / Device Name of Device 1
#DEVCODE1:  WETLABSWQM233                        / Device Code of Device 1
#DEVID1:    13200                                / Device ID of Device 1
#
#DEPLDATE2: 2013-09-03T02:18:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "WET Labs Water Quality Monitor 196"  / Device Name of Device 2
#DEVCODE2:  WETLABSWQM196                        / Device Code of Device 2
#DEVID2:    9001                                 / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2012-10-06T04:30:00.000Z             / Data Start Time
#DATETO:    2014-09-16T06:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2010-11-19T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#PERIODST2: 2012-04-30T00:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   1                                    / Sensor Sample Period 2 (s)
#RESAMPPRD: 900                                  / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 51495                                / Samples in File
#TOTSMPEXP: 68166                                / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Oxygen Saturation (%)", "Oxygen Saturation QC Flag", "Oxygen Saturation Count"
## END HEADER
2012-10-06T21:07:30.000Z, 101.489233426, 7, 900
2012-10-06T21:22:30.000Z, NaN, 6, 600
2012-10-06T21:37:30.000Z, 101.381013613, 7, 900
2012-10-06T21:52:30.000Z, 101.462846262, 7, 900
2012-10-06T22:07:30.000Z, 101.248878479, 7, 900
2012-10-06T22:22:30.000Z, NaN, 6, 600
2012-10-06T22:37:30.000Z, 102.404742103, 7, 900
2012-10-06T22:52:30.000Z, 102.378043247, 7, 900
2012-10-06T23:07:30.000Z, 102.194679447, 7, 900
2012-10-06T23:22:30.000Z, NaN, 6, 600
2012-10-06T23:37:30.000Z, 102.000270389, 7, 900
2012-10-06T23:52:30.000Z, 101.759214096, 7, 900
2012-10-07T00:07:30.000Z, 101.559261488, 7, 900
2012-10-07T00:22:30.000Z, NaN, 6, 600
2012-10-07T00:37:30.000Z, 101.153458628, 7, 900
2012-10-07T00:52:30.000Z, 101.078538478, 7, 900
2012-10-07T01:07:30.000Z, 101.186628409, 7, 900
2012-10-07T01:22:30.000Z, NaN, 6, 600
2012-10-07T01:37:30.000Z, 101.125522158, 7, 900
2012-10-07T01:52:30.000Z, 101.094259858, 7, 900
2012-10-07T02:07:30.000Z, 101.136560401, 7, 900
2012-10-07T02:22:30.000Z, NaN, 6, 600
2012-10-07T02:37:30.000Z, 101.189763005, 7, 900
2012-10-07T02:52:30.000Z, 101.239944501, 7, 900
2012-10-07T03:07:30.000Z, 101.121710595, 7, 900
2012-10-07T03:22:30.000Z, NaN, 6, 600
2012-10-07T03:37:30.000Z, 101.067809009, 7, 900
2012-10-07T03:52:30.000Z, 101.011313009, 7, 900
2012-10-07T04:07:30.000Z, 101.012313584, 7, 900
2012-10-07T04:22:30.000Z, NaN, 6, 600
2012-10-07T04:37:30.000Z, 101.02814448, 7, 900
2012-10-07T04:52:30.000Z, 101.173231166, 7, 900
2012-10-07T05:07:30.000Z, 101.058468995, 7, 900
2012-10-07T05:22:30.000Z, NaN, 6, 600
2012-10-07T05:37:30.000Z, 100.733761644, 7, 900
2012-10-07T05:52:30.000Z, 100.750692619, 7, 900
2012-10-07T06:07:30.000Z, 100.440811226, 7, 900
2012-10-07T06:22:30.000Z, NaN, 6, 600
2012-10-07T06:37:30.000Z, 100.23417335, 7, 900
2012-10-07T06:52:30.000Z, 100.442494017, 7, 900
2012-10-07T07:07:30.000Z, 99.722946041, 7, 900
2012-10-07T07:22:30.000Z, NaN, 6, 600
2012-10-07T07:37:30.000Z, 99.690175389, 7, 900
2012-10-07T07:52:30.000Z, 99.941656826, 7, 900
2012-10-07T08:07:30.000Z, 99.909063281, 7, 900
2012-10-07T08:22:30.000Z, NaN, 6, 600
2012-10-07T08:37:30.000Z, 100.483820394, 7, 900
2012-10-07T08:52:30.000Z, 100.34623704, 7, 900
2012-10-07T09:07:30.000Z, 99.555455528, 7, 900
2012-10-07T09:22:30.000Z, NaN, 6, 600
2012-10-07T09:37:30.000Z, 100.209537395, 7, 900
2012-10-07T09:52:30.000Z, 100.342832565, 7, 900
2012-10-07T10:07:30.000Z, 100.631271432, 7, 900
2012-10-07T10:22:30.000Z, NaN, 6, 600
2012-10-07T10:37:30.000Z, 100.489479789, 7, 900
2012-10-07T10:52:30.000Z, 100.458880147, 7, 900
2012-10-07T11:07:30.000Z, 100.579678417, 7, 899
2012-10-07T11:22:30.000Z, NaN, 6, 600
2012-10-07T11:37:30.000Z, 100.358809034, 7, 900
2012-10-07T11:52:30.000Z, 100.569310893, 7, 900
2012-10-07T12:07:30.000Z, 100.447371577, 7, 900
2012-10-07T12:22:30.000Z, NaN, 6, 600
2012-10-07T12:37:30.000Z, 100.751099741, 7, 900
2012-10-07T12:52:30.000Z, 100.807791927, 7, 900
2012-10-07T13:07:30.000Z, 100.182690596, 7, 900
2012-10-07T13:22:30.000Z, NaN, 6, 600
2012-10-07T13:37:30.000Z, 100.450425158, 7, 900
2012-10-07T13:52:30.000Z, 100.512777986, 7, 900
2012-10-07T14:07:30.000Z, 100.438663903, 7, 900
2012-10-07T14:22:30.000Z, NaN, 6, 600
2012-10-07T14:37:30.000Z, 100.476407021, 7, 900
2012-10-07T14:52:30.000Z, 100.505432471, 7, 900
2012-10-07T15:07:30.000Z, 100.165007174, 7, 900
2012-10-07T15:22:30.000Z, NaN, 6, 600
2012-10-07T15:37:30.000Z, 100.309463378, 7, 900
2012-10-07T15:52:30.000Z, 100.299101794, 7, 900
2012-10-07T16:07:30.000Z, 100.374134186, 7, 900
2012-10-07T16:22:30.000Z, NaN, 6, 600
2012-10-07T16:37:30.000Z, 100.385872986, 7, 900
2012-10-07T16:52:30.000Z, 100.334217372, 7, 900
2012-10-07T17:07:30.000Z, 100.491184505, 7, 900
2012-10-07T17:22:30.000Z, NaN, 6, 600
2012-10-07T17:37:30.000Z, 100.466497709, 7, 900
2012-10-07T17:52:30.000Z, 100.557247515, 7, 900
2012-10-07T18:07:30.000Z, 100.649893835, 7, 900
2012-10-07T18:22:30.000Z, NaN, 6, 600
2012-10-07T18:37:30.000Z, 100.669525283, 7, 900
2012-10-07T18:52:30.000Z, 100.766895397, 7, 900
2012-10-07T19:07:30.000Z, 100.829794445, 7, 900
2012-10-07T19:22:30.000Z, NaN, 6, 599
2012-10-07T19:37:30.000Z, 101.046851029, 7, 900
2012-10-07T19:52:30.000Z, 101.01183792, 7, 900
2012-10-07T20:07:30.000Z, 101.249195374, 7, 900
2012-10-07T20:22:30.000Z, NaN, 6, 601
2012-10-07T20:37:30.000Z, 100.989696515, 7, 900
2012-10-07T20:52:30.000Z, 100.975966398, 7, 900
2012-10-07T21:07:30.000Z, 100.89016941, 7, 900
2012-10-07T21:22:30.000Z, NaN, 6, 600
2012-10-07T21:37:30.000Z, 101.050409772, 7, 900
2012-10-07T21:52:30.000Z, 101.141646633, 7, 900
2012-10-07T22:07:30.000Z, 101.127294186, 7, 900
2012-10-07T22:22:30.000Z, NaN, 6, 600
2012-10-07T22:37:30.000Z, 101.082919358, 7, 900
2012-10-07T22:52:30.000Z, 101.026454725, 7, 900
2012-10-07T23:07:30.000Z, 101.07777789, 7, 900
2012-10-07T23:22:30.000Z, NaN, 6, 600
2012-10-07T23:37:30.000Z, 100.990288819, 7, 900
2012-10-07T23:52:30.000Z, 101.018380502, 7, 900
2012-10-08T00:07:30.000Z, 101.116247174, 7, 900
2012-10-08T00:22:30.000Z, NaN, 6, 600
2012-10-08T00:37:30.000Z, 100.927840804, 7, 900
2012-10-08T00:52:30.000Z, 100.939474992, 7, 900
2012-10-08T01:07:30.000Z, 99.440418417, 7, 900
2012-10-08T01:22:30.000Z, NaN, 6, 600
2012-10-08T01:37:30.000Z, 100.806858311, 7, 900
2012-10-08T01:52:30.000Z, 100.779940999, 7, 900
2012-10-08T02:07:30.000Z, 100.725216308, 7, 900
2012-10-08T02:22:30.000Z, NaN, 6, 600
2012-10-08T02:37:30.000Z, 100.629877836, 7, 900
2012-10-08T02:52:30.000Z, 100.647650732, 7, 900
2012-10-08T03:07:30.000Z, 100.656585829, 7, 900
2012-10-08T03:22:30.000Z, NaN, 6, 600
2012-10-08T03:37:30.000Z, 100.577717382, 7, 900
2012-10-08T03:52:30.000Z, 100.428100298, 7, 900
2012-10-08T04:07:30.000Z, 100.532859135, 7, 900
2012-10-08T04:22:30.000Z, NaN, 6, 600
2012-10-08T04:37:30.000Z, 100.39545466, 7, 900
2012-10-08T04:52:30.000Z, 100.454778504, 7, 900
2012-10-08T05:07:30.000Z, 100.259476359, 7, 900
2012-10-08T05:22:30.000Z, NaN, 6, 600
2012-10-08T05:37:30.000Z, 100.066356072, 7, 900
2012-10-08T05:52:30.000Z, 100.18724566, 7, 900
2012-10-08T06:07:30.000Z, 100.163109462, 7, 900
2012-10-08T06:22:30.000Z, NaN, 6, 600
2012-10-08T06:37:30.000Z, 100.074854925, 7, 900
2012-10-08T06:52:30.000Z, 100.278975457, 7, 900
2012-10-08T07:07:30.000Z, 100.242066713, 7, 900
2012-10-08T07:22:30.000Z, NaN, 6, 600
2012-10-08T07:37:30.000Z, 100.302579987, 7, 900
2012-10-08T07:52:30.000Z, 100.273379548, 7, 900
2012-10-08T08:07:30.000Z, 100.180115161, 7, 900
2012-10-08T08:22:30.000Z, NaN, 6, 600
2012-10-08T08:37:30.000Z, 100.434447874, 7, 900
2012-10-08T08:52:30.000Z, 100.211711764, 7, 900
2012-10-08T09:07:30.000Z, 100.395571183, 7, 900
2012-10-08T09:22:30.000Z, NaN, 6, 600
2012-10-08T09:37:30.000Z, 99.764704969, 7, 900
2012-10-08T09:52:30.000Z, 100.239516123, 7, 900
2012-10-08T10:07:30.000Z, 100.427413089, 7, 900
2012-10-08T10:22:30.000Z, NaN, 6, 600
2012-10-08T10:37:30.000Z, 100.398805284, 7, 900
2012-10-08T10:52:30.000Z, 100.377708172, 7, 900
2012-10-08T11:07:30.000Z, 100.342001429, 7, 900
2012-10-08T11:22:30.000Z, NaN, 6, 600
2012-10-08T11:37:30.000Z, 100.367562905, 7, 900
2012-10-08T11:52:30.000Z, 100.314495436, 7, 900
2012-10-08T12:07:30.000Z, 100.340701476, 7, 900
2012-10-08T12:22:30.000Z, NaN, 6, 600
2012-10-08T12:37:30.000Z, 100.223952106, 7, 900
2012-10-08T12:52:30.000Z, 100.243379085, 7, 900
2012-10-08T13:07:30.000Z, 100.565470521, 7, 900
2012-10-08T13:22:30.000Z, NaN, 6, 600
2012-10-08T13:37:30.000Z, 100.310804993, 7, 900
2012-10-08T13:52:30.000Z, 100.128714463, 7, 900
2012-10-08T14:07:30.000Z, 100.082537524, 7, 900
2012-10-08T14:22:30.000Z, NaN, 6, 600
2012-10-08T14:37:30.000Z, 100.621715265, 7, 900
2012-10-08T14:52:30.000Z, 100.683424102, 7, 900
2012-10-08T15:07:30.000Z, 100.522745818, 7, 900
2012-10-08T15:22:30.000Z, NaN, 6, 600
2012-10-08T15:37:30.000Z, 100.302101275, 7, 900
2012-10-08T15:52:30.000Z, 99.812421232, 7, 900
2012-10-08T16:07:30.000Z, 99.908762259, 7, 900
2012-10-08T16:22:30.000Z, NaN, 6, 600
2012-10-08T16:37:30.000Z, 100.58638622, 7, 900
2012-10-08T16:52:30.000Z, 100.603381292, 7, 900
2012-10-08T17:07:30.000Z, 100.553533919, 7, 900
2012-10-08T17:22:30.000Z, NaN, 6, 599
2012-10-08T17:37:30.000Z, 100.53965215, 7, 900
2012-10-08T17:52:30.000Z, 100.690459786, 7, 900
2012-10-08T18:07:30.000Z, 100.574271239, 7, 900
2012-10-08T18:22:30.000Z, NaN, 6, 601
2012-10-08T18:37:30.000Z, 100.45209823, 7, 900
2012-10-08T18:52:30.000Z, 100.820757181, 7, 900
2012-10-08T19:07:30.000Z, 100.936210574, 7, 900
2012-10-08T19:22:30.000Z, NaN, 6, 600
2012-10-08T19:37:30.000Z, 100.65070712, 7, 900
2012-10-08T19:52:30.000Z, 100.51471507, 7, 900
2012-10-08T20:07:30.000Z, 100.693647581, 7, 900
2012-10-08T20:22:30.000Z, NaN, 6, 600
2012-10-08T20:37:30.000Z, 100.582745021, 7, 900
2012-10-08T20:52:30.000Z, 100.562431539, 7, 900
2012-10-08T21:07:30.000Z, 100.664842437, 7, 900
2012-10-08T21:22:30.000Z, NaN, 6, 600
2012-10-08T21:37:30.000Z, 100.536126806, 7, 900
2012-10-08T21:52:30.000Z, 100.48925652, 7, 900
2012-10-08T22:07:30.000Z, 100.344555993, 7, 900
2012-10-08T22:22:30.000Z, NaN, 6, 600
2012-10-08T22:37:30.000Z, 100.66181855, 7, 900
2012-10-08T22:52:30.000Z, 100.692505612, 7, 900
2012-10-08T23:07:30.000Z, 100.715937618, 7, 900
2012-10-08T23:22:30.000Z, NaN, 6, 600
2012-10-08T23:37:30.000Z, 100.44737109, 7, 899
2012-10-08T23:52:30.000Z, 100.675379673, 7, 900
2012-10-09T00:07:30.000Z, 101.194653713, 7, 900
2012-10-09T00:22:30.000Z, NaN, 6, 600
2012-10-09T00:37:30.000Z, 100.942935075, 7, 900
2012-10-09T00:52:30.000Z, 100.929258012, 7, 900
2012-10-09T01:07:30.000Z, 100.688717796, 7, 900
2012-10-09T01:22:30.000Z, NaN, 6, 600
2012-10-09T01:37:30.000Z, 100.600506034, 7, 900
2012-10-09T01:52:30.000Z, 100.654351144, 7, 900
2012-10-09T02:07:30.000Z, 100.619638412, 7, 900
2012-10-09T02:22:30.000Z, NaN, 6, 600
2012-10-09T02:37:30.000Z, 100.533653897, 7, 900
2012-10-09T02:52:30.000Z, 100.464834784, 7, 900
2012-10-09T03:07:30.000Z, 100.527746426, 7, 900
2012-10-09T03:22:30.000Z, NaN, 6, 600
2012-10-09T03:37:30.000Z, 100.553629409, 7, 900
2012-10-09T03:52:30.000Z, 100.476525074, 7, 900
2012-10-09T04:07:30.000Z, 100.35394579, 7, 900
2012-10-09T04:22:30.000Z, NaN, 6, 599
2012-10-09T04:37:30.000Z, 100.3705305, 7, 900
2012-10-09T04:52:30.000Z, 100.359704044, 7, 900
2012-10-09T05:07:30.000Z, 100.217384896, 7, 900
2012-10-09T05:22:30.000Z, NaN, 6, 601
2012-10-09T05:37:30.000Z, 100.057530768, 7, 900
2012-10-09T05:52:30.000Z, 100.107585877, 7, 900
2012-10-09T06:07:30.000Z, 100.098545379, 7, 900
2012-10-09T06:22:30.000Z, NaN, 6, 600
2012-10-09T06:37:30.000Z, 100.005734862, 7, 900
2012-10-09T06:52:30.000Z, 99.983984938, 7, 900
2012-10-09T07:07:30.000Z, 100.021512272, 7, 900
2012-10-09T07:22:30.000Z, NaN, 6, 600
2012-10-09T07:37:30.000Z, 100.121339547, 7, 900
2012-10-09T07:52:30.000Z, 100.096608934, 7, 900
2012-10-09T08:07:30.000Z, 99.987491231, 7, 900
2012-10-09T08:22:30.000Z, NaN, 6, 600
2012-10-09T08:37:30.000Z, 99.771114417, 7, 900
2012-10-09T08:52:30.000Z, 99.772017838, 7, 900
2012-10-09T09:07:30.000Z, 99.776559474, 7, 900
2012-10-09T09:22:30.000Z, NaN, 6, 600
2012-10-09T09:37:30.000Z, 99.759679281, 7, 900
2012-10-09T09:52:30.000Z, 99.447189168, 7, 900
2012-10-09T10:07:30.000Z, 99.696263062, 7, 900
2012-10-09T10:22:30.000Z, NaN, 6, 600
2012-10-09T10:37:30.000Z, 99.684774781, 7, 900
2012-10-09T10:52:30.000Z, 99.700278735, 7, 900
2012-10-09T11:07:30.000Z, 99.550057706, 7, 900
2012-10-09T11:22:30.000Z, NaN, 6, 599
2012-10-09T11:37:30.000Z, 99.752405302, 7, 900
2012-10-09T11:52:30.000Z, 99.696538097, 7, 900
2012-10-09T12:07:30.000Z, 99.851987516, 7, 900
2012-10-09T12:22:30.000Z, NaN, 6, 600
2012-10-09T12:37:30.000Z, 99.671151357, 7, 900
2012-10-09T12:52:30.000Z, 99.475515561, 7, 900
2012-10-09T13:07:30.000Z, 99.846513856, 7, 900
2012-10-09T13:22:30.000Z, NaN, 6, 601
2012-10-09T13:37:30.000Z, 99.911925055, 7, 900
2012-10-09T13:52:30.000Z, 99.843299694, 7, 900
2012-10-09T14:07:30.000Z, 99.73356926, 7, 900
2012-10-09T14:22:30.000Z, NaN, 6, 600
2012-10-09T14:37:30.000Z, 99.835051967, 7, 900
2012-10-09T14:52:30.000Z, 99.925359017, 7, 900
2012-10-09T15:07:30.000Z, 100.220981045, 7, 900
2012-10-09T15:22:30.000Z, NaN, 6, 600
2012-10-09T15:37:30.000Z, 99.992905996, 7, 900
2012-10-09T15:52:30.000Z, 99.557459839, 7, 900
2012-10-09T16:07:30.000Z, 99.495601672, 7, 900
2012-10-09T16:22:30.000Z, NaN, 6, 600
2012-10-09T16:37:30.000Z, 99.925312439, 7, 900
2012-10-09T16:52:30.000Z, 99.755282578, 7, 900
2012-10-09T17:07:30.000Z, 99.633519233, 7, 900
2012-10-09T17:22:30.000Z, NaN, 6, 600
2012-10-09T17:37:30.000Z, 99.857535173, 7, 899
2012-10-09T17:52:30.000Z, 99.691068593, 7, 900
2012-10-09T18:07:30.000Z, 99.698602342, 7, 900
2012-10-09T18:22:30.000Z, NaN, 6, 600
2012-10-09T18:37:30.000Z, 99.630238235, 7, 900
